annata,attributo,valore,fascicoli
81/82,sfondo mappe,Arancione,64
81/82,cornice mappe,Grigia,21
81/82,cornice mappe,Gialla,10
81/82,foto stradario,Sì,16
81/82,foto stradario,No,9
81/82,foto stradario,In parte,6
82/83,sfondo mappe,Arancione,64
82/83,cornice mappe,Grigia,29
82/83,cornice mappe,Gialla,2
82/83,foto stradario,No,27
82/83,foto stradario,In parte,3
83/84,sfondo mappe,Arancione,64
83/84,cornice mappe,Grigia,33
83/84,cornice mappe,Gialla,1
83/84,foto stradario,No,34
84/85,sfondo mappe,Arancione,76
84/85,cornice mappe,Grigia,44
84/85,cornice mappe,Sì,1
84/85,foto stradario,No,45
85/86,sfondo mappe,Arancione,77
86/87,sfondo mappe,Arancione,77
87/88,sfondo mappe,Arancione,78
88/89,sfondo mappe,Arancione,83
89/90,sfondo mappe,Arancione,72
89/90,sfondo mappe,Grigio,15
90/91,sfondo mappe,Grigio,87
91/92,sfondo mappe,Grigio,87
92/93,sfondo mappe,Grigio,87
93/94,sfondo mappe,Grigio,87
94/95,sfondo mappe,Grigio,87
95/96,sfondo mappe,Grigio,87
96/97,sfondo mappe,Grigio,87
97/98,sfondo mappe,Grigio,87
98/99,sfondo mappe,Grigio,42
99/00,sfondo mappe,Grigio,40
99/00,sfondo mappe,?,2
00/01,sfondo mappe,Grigio,20
00/01,sfondo mappe,Grigio cromatico,12
00/01,sfondo mappe,!,3
01/02,sfondo mappe,Grigio cromatico,35
02/03,sfondo mappe,Grigio cromatico,35
03/04,sfondo mappe,Grigio cromatico,35
04/05,sfondo mappe,Grigio cromatico,35
05/06,sfondo mappe,Grigio cromatico,35
06/07,sfondo mappe,Grigio cromatico,35
07/08,sfondo mappe,Grigio cromatico,35
08/09,sfondo mappe,Grigio cromatico,35
09/10,sfondo mappe,Rosa,22
09/10,sfondo mappe,Grigio cromatico,14
10/11,sfondo mappe,Rosa,38
11/12,sfondo mappe,Rosa,38
12/13,sfondo mappe,Rosa,38
13/14,sfondo mappe,Rosa,38
14/15,sfondo mappe,Rosa,38
