annata,fascicolo,provincia,citta,indicizzata
81/82,Trieste,Trieste,Trieste,sì
81/82,Gorizia - Pordenone - Udine,Gorizia,Gorizia,sì
81/82,Gorizia - Pordenone - Udine,Gorizia,Monfalcone,sì
81/82,Gorizia - Pordenone - Udine,Pordenone,Pordenone,sì
81/82,Gorizia - Pordenone - Udine,Pordenone,Sacile,sì
81/82,Gorizia - Pordenone - Udine,Udine,Udine,sì
81/82,Gorizia - Pordenone - Udine,Udine,Cervignano del Friuli,sì
81/82,Gorizia - Pordenone - Udine,Udine,Cividale del Friuli,sì
81/82,Gorizia - Pordenone - Udine,Udine,Manzano,sì
82/83,Trieste,Trieste,Trieste,sì
82/83,Gorizia - Pordenone - Udine,Gorizia,Gorizia,sì
82/83,Gorizia - Pordenone - Udine,Gorizia,Monfalcone,sì
82/83,Gorizia - Pordenone - Udine,Pordenone,Pordenone,sì
82/83,Gorizia - Pordenone - Udine,Pordenone,Sacile,sì
82/83,Gorizia - Pordenone - Udine,Udine,Udine,sì
82/83,Gorizia - Pordenone - Udine,Udine,Cervignano del Friuli,sì
82/83,Gorizia - Pordenone - Udine,Udine,Cividale del Friuli,sì
82/83,Gorizia - Pordenone - Udine,Udine,Manzano,sì
83/84,Gorizia - Pordenone - Udine,Gorizia,Gorizia,sì
83/84,Gorizia - Pordenone - Udine,Gorizia,Monfalcone,sì
83/84,Gorizia - Pordenone - Udine,Pordenone,Pordenone,sì
83/84,Gorizia - Pordenone - Udine,Pordenone,Sacile,sì
83/84,Gorizia - Pordenone - Udine,Udine,Udine,sì
83/84,Gorizia - Pordenone - Udine,Udine,Cervignano del Friuli,sì
83/84,Gorizia - Pordenone - Udine,Udine,Cividale del Friuli,sì
83/84,Gorizia - Pordenone - Udine,Udine,Manzano,sì
84/85,Gorizia - Trieste,Gorizia,Gorizia,sì
84/85,Gorizia - Trieste,Gorizia,Monfalcone,sì
84/85,Gorizia - Trieste,Trieste,Trieste,sì
84/85,Pordenone - Udine,Pordenone,Pordenone,sì
84/85,Pordenone - Udine,Pordenone,Sacile,sì
84/85,Pordenone - Udine,Udine,Udine,sì
84/85,Pordenone - Udine,Udine,Cervignano del Friuli,sì
84/85,Pordenone - Udine,Udine,Cividale del Friuli,sì
84/85,Pordenone - Udine,Udine,Manzano,sì
85/86,Gorizia - Trieste,Gorizia,Gorizia,sì
85/86,Gorizia - Trieste,Gorizia,Grado,sì
85/86,Gorizia - Trieste,Gorizia,Monfalcone,sì
85/86,Gorizia - Trieste,Trieste,Trieste,sì
85/86,Pordenone - Udine,Pordenone,Pordenone,sì
85/86,Pordenone - Udine,Pordenone,Sacile,sì
85/86,Pordenone - Udine,Udine,Udine,sì
85/86,Pordenone - Udine,Udine,Cervignano del Friuli,sì
85/86,Pordenone - Udine,Udine,Cividale del Friuli,sì
85/86,Pordenone - Udine,Udine,Manzano,sì
85/86,Pordenone - Udine,Udine,Lignano Sabbiadoro,no
86/87,Gorizia - Trieste,Gorizia,Gorizia,sì
86/87,Gorizia - Trieste,Gorizia,Monfalcone,sì
86/87,Gorizia - Trieste,Trieste,Trieste,sì
86/87,Pordenone - Udine,Pordenone,Pordenone,sì
86/87,Pordenone - Udine,Pordenone,Sacile,sì
86/87,Pordenone - Udine,Udine,Udine,sì
86/87,Pordenone - Udine,Udine,Cervignano del Friuli,sì
86/87,Pordenone - Udine,Udine,Cividale del Friuli,sì
